hour_index,WND,SUN,WAT,OIL,NG,COL,NUC,OTH
241,1651,1176,249,0,1214,3021,0,106
242,1492,502,253,0,1440,3179,0,105
243,1223,18,248,0,1492,3314,0,108
244,1066,0,249,0,1509,3406,0,109
245,999,0,247,0,1596,3322,0,109
246,1020,0,250,0,1635,3011,0,104
247,1023,0,233,0,1384,2716,0,106
248,1018,0,233,0,1332,2587,0,108
249,1061,0,232,0,1247,2592,0,106
250,1025,0,235,0,1256,2601,0,107
251,1118,0,234,0,1332,2599,0,106
252,1075,0,235,0,1337,2634,0,104
253,961,41,233,0,1353,2636,0,104
254,1003,629,236,0,1448,2596,0,105
255,1181,1248,232,0,1219,2258,0,106
256,1342,1341,233,0,1064,2012,0,109
257,1353,1406,232,0,1073,1993,0,110
258,1363,1456,235,0,1061,1944,0,115
259,1408,1455,233,0,1049,1895,0,114
260,1385,1444,233,0,1140,2027,0,111
261,1335,1466,231,0,1145,2082,0,113
262,1317,1477,235,0,1143,2167,0,110
263,1225,1419,234,0,1120,2399,0,111
264,1134,1378,230,0,1115,2541,0,112
265,988,1225,233,0,1289,2619,0,112
266,933,534,233,0,1497,2641,0,111
267,874,22,231,0,1517,2677,0,114
268,805,0,233,0,1516,2667,0,118
269,660,0,231,0,1456,2636,0,114
270,623,0,228,0,1208,2620,0,116
271,526,0,231,0,1090,2600,0,115
272,481,0,230,0,1098,2628,0,115
273,409,0,227,0,1104,2674,0,109
274,299,0,229,0,1102,2797,0,112
275,204,0,231,0,1105,2856,0,112
276,188,0,230,0,1100,2825,0,111
277,255,56,230,0,1143,2821,0,112
278,261,722,229,0,1227,2799,0,114
279,335,1361,228,0,1041,2611,0,114
280,539,1446,226,0,1043,2266,0,112
281,648,1474,227,0,1073,2303,0,111
282,858,1489,226,0,1103,2229,0,107
283,927,1498,228,0,1107,2216,0,105
284,1028,1489,227,0,1095,2141,0,105
285,1042,1493,225,0,1092,2077,0,103
286,1134,1464,227,0,1090,2148,0,105
287,1167,1451,225,0,1176,2304,0,103
288,908,1416,224,0,1389,2639,0,105
289,665,1237,226,0,1514,2898,0,105
290,512,535,223,0,1819,2972,0,107
291,485,21,228,0,1956,2802,0,108
292,673,0,222,0,2001,2696,0,110
293,785,0,224,0,1806,2759,0,110
294,765,0,224,0,1432,2642,0,108
295,779,0,240,0,1462,2552,0,109
296,707,0,239,0,1257,2514,0,110
297,699,0,239,0,1255,2514,0,113
298,531,0,239,0,1257,2530,0,113
299,349,0,241,0,1248,2530,0,114
300,252,0,238,0,1252,2572,0,114
301,216,50,242,0,1133,2516,0,111
302,218,630,237,0,1489,2506,0,110
303,220,1210,239,0,1328,2463,0,109
304,592,1327,237,0,1396,2365,0,103
305,835,1370,236,0,1356,2473,0,102
306,1024,1394,231,0,1421,2410,0,100
307,1166,1396,231,0,1377,2352,0,99
308,1505,1326,232,0,1335,2309,0,100
309,1630,1245,231,0,1450,2328,0,99
310,1650,1235,230,0,1522,2464,0,100
311,1633,1356,232,0,1670,2582,0,99
312,1332,1154,230,0,1719,2680,0,101
313,1507,986,231,0,1825,2588,0,99
314,1263,395,231,0,1973,2576,0,102
315,1144,14,235,0,2058,2516,0,103
316,695,0,228,0,2064,2674,0,108
317,530,0,230,0,2041,2679,0,109
318,699,0,231,0,1664,2718,0,108
319,700,0,216,0,1539,2706,0,110
320,484,0,217,0,1545,2613,0,114
321,364,0,215,0,1474,2596,0,112
322,333,0,214,0,1231,2505,0,112
323,209,0,216,0,1324,2535,0,111
324,177,0,217,0,1310,2532,0,111
325,245,45,217,0,1326,2538,0,109
326,151,659,214,0,1276,2505,0,111
327,100,1333,217,0,1280,2448,0,109
328,56,1442,218,0,1338,2331,0,106
329,92,1438,216,0,1611,2561,0,106
330,182,1434,216,0,1617,2544,0,101
331,537,1370,227,0,1541,2515,0,103
332,413,1353,228,0,1667,2575,0,101
333,586,1331,227,0,1607,2526,0,100
334,689,1268,227,0,1615,2610,0,100
335,1033,1159,230,0,1680,2588,0,100
